"","pid3","authoritarianism","violent","burn","court","recount","criticize","VIOLENT","SM"
"570","Democrat",0.5,4,2,4,5,1,0,1
"571","Democrat",0,1,1,1,4,1,0,0
"572","Independent",1,3,2,2,3,3,1,1
"573","Republican",0.5,3,3,3,3,3,0,0
"574","Independent",0.75,4,1,4,4,4,0,0
"575","Republican",0.75,1,1,3,4,4,1,0
"576","Independent",1,1,1,1,4,2,1,0
"577","Republican",0.5,1,1,1,1,1,0,0
"578","Independent",1,1,1,1,2,2,0,1
"579","Democrat",0.5,4,2,3,4,2,1,0
"580","Republican",0.25,2,2,2,3,2,0,0
"581","Independent",0.75,1,1,3,4,4,1,0
"582","Independent",0.5,2,1,2,4,2,0,0
"583","Democrat",0.25,5,4,4,5,2,0,0
"584","Independent",0.25,3,1,3,4,3,0,1
"585","Democrat",0.25,3,1,4,3,2,1,1
"586","Independent",0.5,3,1,2,5,3,0,0
"587","Democrat",0.5,5,4,4,4,5,0,1
"588","Democrat",0.25,2,2,2,5,3,1,1
"589","Democrat",0,1,2,4,5,1,1,0
"590","Republican",0.5,4,1,4,1,5,1,0
"591",NA,0.75,4,4,3,3,4,0,0
"592","Republican",0.25,4,2,2,5,1,0,0
"593","Democrat",0.25,4,4,4,4,4,0,1
"594","Democrat",0.5,5,5,3,4,4,0,0
"595","Republican",0,5,3,2,5,1,0,1
"596","Republican",0.25,3,1,2,4,3,0,0
"597","Democrat",0,4,1,2,4,1,1,0
"598","Independent",0.75,1,1,1,1,1,0,1
"599","Republican",0,2,1,3,4,3,1,0
"600","Independent",0.25,4,2,2,3,3,0,0
"601","Republican",0.25,4,2,5,4,2,1,1
"602","Democrat",0,5,3,3,3,5,0,1
"603",NA,0,1,1,1,3,3,0,0
"604","Democrat",0.25,3,1,2,4,1,1,1
"605","Independent",0.5,2,1,1,1,5,1,1
"606","Independent",0.75,1,1,1,4,3,0,0
"607","Republican",0.75,1,1,3,4,3,1,1
"608","Democrat",1,2,1,5,5,2,1,1
"609","Republican",0.75,3,2,3,4,2,0,0
"610","Republican",0.25,4,3,2,4,1,1,0
"611","Independent",0.5,1,1,4,4,3,1,1
"612","Independent",0,2,1,4,2,2,0,0
"613","Republican",0,1,1,3,4,3,0,0
"614","Democrat",0,4,3,2,4,2,1,1
"615","Democrat",1,2,1,1,5,3,0,0
"616","Independent",0,1,1,3,4,4,1,1
"617","Democrat",1,1,1,1,3,3,1,0
"618","Republican",0,4,2,3,4,3,1,0
"619","Independent",0.75,1,1,3,4,1,1,1
"620","Independent",0,2,1,4,4,4,1,1
"621","Democrat",0.25,4,1,1,1,1,0,0
"622","Republican",0.5,2,1,1,3,2,1,0
"623","Democrat",0,4,4,4,4,2,0,0
"624","Democrat",0.25,2,2,4,4,3,1,0
"625","Independent",0.25,1,1,1,4,5,1,1
"626","Democrat",0.75,3,1,4,4,2,1,0
"627","Republican",0.75,3,2,4,4,4,0,0
"628","Republican",0.75,1,1,1,3,2,0,0
"629","Independent",1,1,1,1,1,2,0,1
"630","Democrat",0.5,4,1,3,4,2,0,0
"631","Republican",0,5,3,3,5,3,0,0
"632","Independent",0.5,1,1,4,4,4,1,1
"633","Democrat",0,3,3,2,3,4,1,0
"634","Republican",0.5,4,1,4,4,1,0,1
"635","Democrat",0.25,4,3,4,5,4,0,1
"636","Democrat",0.5,2,2,1,1,1,0,1
"637","Republican",0.25,1,1,1,4,1,1,0
"638","Democrat",0.5,1,1,1,3,1,1,0
"639","Independent",0.25,3,1,2,3,2,0,1
"640","Independent",0.5,1,1,3,4,3,1,1
"641","Independent",0.5,3,1,2,3,2,0,0
"642","Democrat",0,4,3,3,4,2,0,1
"643","Democrat",0.5,3,1,4,4,2,1,1
"644","Democrat",0.5,1,1,1,3,1,1,0
"645","Democrat",0.25,4,3,3,4,2,1,1
"646","Independent",0.75,1,1,3,4,1,1,1
"647","Democrat",0.25,5,2,4,4,2,0,0
"648","Democrat",0,1,1,3,3,4,1,0
"649","Republican",0.5,1,1,3,4,1,0,1
"650","Republican",0,4,3,4,4,4,0,1
"651","Democrat",0.25,5,2,3,4,4,0,0
"652","Independent",0,3,1,1,3,1,0,1
"653","Independent",0.5,1,1,2,3,2,1,0
"654","Republican",0.25,3,5,3,4,2,1,1
"655","Republican",0.75,1,1,1,3,1,1,1
"656","Republican",0.25,3,2,2,3,3,0,0
"657","Independent",0.25,1,1,4,4,3,1,1
"658","Independent",0.25,2,1,5,5,3,1,1
"659","Democrat",0.5,4,1,3,3,2,1,0
"660","Independent",0.25,1,1,1,3,1,0,1
"661","Republican",0,2,2,1,2,1,1,0
"662",NA,0,3,3,3,4,4,0,0
"663","Independent",0.5,4,1,1,2,3,0,0
"664","Independent",1,3,1,1,4,4,0,1
"665","Independent",1,1,1,3,4,1,0,1
"666",NA,0,4,4,3,4,4,1,1
"667","Democrat",0.25,1,1,1,4,2,1,1
"668","Independent",0.75,1,1,1,2,2,1,1
"669","Independent",1,4,2,4,5,4,1,1
"670","Republican",0.5,2,2,2,3,2,1,1
"671","Republican",0,5,5,4,4,2,0,1
"672",NA,0.75,1,1,1,1,1,0,1
"673","Independent",0,1,1,2,3,1,0,0
"674","Independent",0.5,5,4,5,4,5,0,1
"675","Republican",0,4,3,4,5,5,1,0
"676","Democrat",0.5,4,2,2,4,4,1,0
"677","Independent",0.5,1,1,1,1,1,1,1
"678","Republican",0.25,1,1,2,4,1,1,0
"679",NA,0,4,3,2,4,4,0,1
"680","Republican",0.25,3,3,4,4,3,1,1
"681","Republican",1,1,1,1,5,3,0,1
"682","Democrat",0.25,4,5,3,4,5,0,0
"683","Democrat",0.5,2,1,2,3,3,0,1
"684","Democrat",0,4,1,4,5,4,0,0
"685","Republican",0.25,3,3,2,3,2,1,0
"686","Democrat",0,4,1,1,5,4,1,1
"687","Democrat",0,1,1,1,4,1,0,1
"688","Republican",0.25,3,1,3,3,3,0,0
"689","Independent",0.75,3,1,4,4,4,1,1
"690","Independent",0.25,3,1,4,4,2,0,1
"691","Democrat",0.25,4,1,3,3,2,0,1
"692",NA,0,4,5,5,5,3,1,0
"693","Democrat",0.5,3,3,3,3,3,0,1
"694","Independent",0.25,2,2,2,2,2,1,0
"695","Republican",0.25,1,1,3,4,5,0,1
"696","Independent",0.5,1,1,2,2,2,1,0
"697","Republican",0.25,3,2,4,4,2,1,1
"698","Independent",1,3,1,1,3,2,1,1
"699","Democrat",0.25,3,4,2,4,1,1,0
"700","Independent",0.75,2,1,3,4,3,1,0
"701",NA,0.5,2,1,3,2,4,1,1
"702","Democrat",0,1,5,5,4,5,1,1
"703","Democrat",0.75,4,2,4,4,4,0,0
"704","Republican",0,3,3,3,4,3,1,1
"705","Independent",0.25,1,1,1,5,3,1,0
"706","Democrat",0.5,3,2,2,4,3,0,1
"707","Democrat",0.75,5,1,5,5,5,0,0
"708","Republican",0,3,1,2,3,2,1,0
"709","Republican",0,4,3,3,4,1,1,0
"710","Independent",0.75,1,1,1,3,1,1,1
"711","Democrat",0,5,5,2,5,2,1,1
"712","Republican",0,2,3,3,4,2,1,1
"713","Independent",0.25,2,1,1,3,3,0,1
"714",NA,0,4,3,4,4,4,0,0
"715",NA,0.25,3,1,3,4,3,0,0
"716","Republican",0.75,3,3,3,3,4,0,0
"717","Republican",0.25,3,2,4,4,4,1,0
"718","Republican",0.75,3,1,3,4,3,0,1
"719","Republican",0.25,2,2,3,4,4,1,1
"720","Republican",0.25,3,1,4,4,2,1,1
"721","Democrat",0,4,3,4,2,1,1,0
"722","Republican",0,3,3,3,4,3,1,1
"723","Republican",0,4,2,2,4,4,0,1
"724","Democrat",0.5,4,4,5,4,2,1,0
"725","Republican",0.25,2,1,3,4,4,1,1
"726","Democrat",0,3,2,3,3,4,1,0
"727","Democrat",0,4,4,4,4,4,1,0
"728","Democrat",0.25,4,2,3,3,3,0,1
"729","Democrat",0,3,1,3,4,2,0,0
"730","Republican",0.5,1,1,1,4,2,1,0
"731","Republican",0.25,3,3,5,5,3,1,1
"732","Democrat",0,2,1,2,4,3,0,1
"733","Republican",0.75,3,1,3,3,1,0,0
"734","Democrat",0,5,4,5,5,5,0,1
"735","Democrat",0.5,4,1,3,4,3,0,0
"736","Republican",0,1,1,4,4,2,1,0
"737","Democrat",0.25,2,3,1,3,1,0,0
"738","Independent",0.25,2,1,5,4,4,1,1
"739","Republican",0.25,4,4,2,4,2,1,1
"740","Republican",0.75,2,2,2,4,1,1,1
"741","Republican",0,5,2,2,4,1,0,1
"742","Independent",0.75,3,1,3,3,3,1,1
"743","Independent",0.25,3,1,3,3,5,0,0
"744","Republican",0,1,1,2,4,3,0,1
"745","Democrat",0,4,3,4,4,1,1,0
"746","Republican",0.5,2,1,3,3,3,0,0
"747","Democrat",0.75,4,1,3,4,3,0,0
"748","Republican",1,1,1,4,4,2,0,0
"749","Republican",0.25,2,2,3,3,3,0,1
"750","Independent",0.25,3,1,2,4,2,0,0
"751","Democrat",0.25,4,2,2,4,1,1,1
"752","Republican",0.75,2,1,2,4,2,0,1
"753","Independent",0.75,2,1,2,4,2,1,0
"754","Independent",1,1,1,1,3,1,0,0
"755","Democrat",0.5,3,1,3,3,5,0,1
"756","Independent",0.75,2,1,3,4,3,1,1
"757","Democrat",0,5,2,5,5,2,1,0
"758","Democrat",0,2,1,1,2,2,0,0
"759","Republican",0.5,3,2,2,4,3,0,1
"760","Democrat",0.75,3,1,2,3,2,1,1
"761","Independent",0.25,4,1,3,5,4,0,1
"762","Republican",0.5,2,1,2,4,2,1,0
"763","Democrat",0.5,5,5,5,5,3,1,0
"764","Republican",0,5,5,5,5,5,1,0
"765","Independent",0.5,2,1,4,4,4,1,0
"766","Republican",0.5,2,1,2,3,3,1,1
"767","Republican",0.25,1,1,1,4,1,1,1
"768","Democrat",0.5,5,5,5,5,5,0,0
"769","Independent",1,2,1,3,3,3,0,0
"770","Democrat",0.5,2,2,2,4,5,1,1
"771","Independent",0.5,1,1,3,4,3,1,1
"772",NA,0,5,5,5,5,5,0,0
"773","Democrat",0,5,4,3,4,1,0,0
"774",NA,0,4,5,2,5,3,1,1
"775","Democrat",0.75,4,1,3,3,1,0,1
"776",NA,0.5,2,1,4,4,5,1,0
"777","Independent",0.75,3,1,3,3,3,1,0
"778","Republican",0,3,2,3,3,3,1,0
"779","Democrat",0.75,3,1,3,4,2,0,1
"780","Republican",0,5,2,2,4,1,0,1
"781","Republican",0,4,4,3,4,4,1,0
"782","Democrat",0,3,1,3,3,3,0,1
"783","Independent",0.75,1,1,3,5,1,0,1
"784","Democrat",0,5,3,4,4,3,0,1
"785","Republican",0.25,3,2,3,2,3,1,0
"786","Democrat",0,2,3,2,3,1,1,1
"787","Republican",0.75,2,1,2,4,2,1,0
"788","Independent",0.25,2,3,3,3,3,1,1
"789",NA,0,4,4,3,5,4,1,0
"790","Republican",0.5,3,1,3,4,3,0,0
"791","Republican",0.75,3,2,3,3,4,1,1
"792","Democrat",0,5,1,1,5,5,1,1
"793","Republican",0.25,1,1,2,4,4,0,0
"794","Republican",0.25,1,1,1,4,4,1,1
"795","Independent",0,2,1,3,4,4,1,0
"796","Democrat",0.5,3,1,3,2,4,0,1
"797","Republican",1,1,1,1,4,1,0,1
"798","Democrat",0.25,1,1,4,4,3,1,0
"799","Independent",0.75,3,1,3,2,2,0,0
"800","Independent",0.5,4,2,4,4,5,0,0
"801","Democrat",0,3,1,3,3,3,1,1
"802","Democrat",0,5,2,3,4,1,0,1
"803","Independent",0.25,1,1,4,4,4,1,0
"804","Republican",0.25,4,4,3,5,2,1,0
"805","Democrat",0,5,5,5,5,1,1,1
"806","Democrat",0,1,1,4,4,4,1,1
"807","Republican",0.5,2,2,1,4,2,0,1
"808","Republican",0,5,2,2,2,1,0,0
"809","Democrat",0,4,5,2,4,4,1,1
"810","Republican",0,4,3,1,4,3,0,0
"811","Republican",0.5,1,1,5,5,5,1,0
"812","Independent",0.5,1,1,2,4,2,1,0
"813","Independent",0,1,1,3,3,2,1,1
"814","Republican",0.25,1,1,3,5,3,1,1
"815","Republican",0.25,2,2,3,3,4,0,1
"816","Republican",1,1,1,1,3,1,0,1
"817","Independent",0,2,1,3,4,3,0,0
"818","Republican",0,4,3,4,4,2,1,1
"819","Democrat",0,5,4,4,4,4,1,0
"820","Republican",1,2,1,2,3,3,1,1
"821",NA,0,4,3,4,4,3,1,0
"822",NA,0.5,2,1,3,3,2,1,0
"823","Independent",0.5,4,1,3,4,3,0,0
"824","Independent",1,3,1,5,5,5,0,1
"825","Independent",0,2,1,4,4,4,1,1
"826","Republican",0.25,3,1,3,4,2,0,1
"827","Independent",0.5,1,1,3,3,3,1,1
"828","Democrat",0.5,4,4,4,4,4,0,0
"829","Independent",0.25,4,1,2,4,2,1,0
"830","Independent",0.5,2,1,4,4,4,1,0
"831","Independent",0,1,1,1,1,3,1,1
"832","Independent",0.75,1,1,1,1,1,0,1
"833","Independent",0.25,1,1,1,2,1,0,0
"834","Independent",0,4,1,3,3,4,0,1
"835","Independent",1,4,1,4,4,4,0,0
"836","Democrat",0,4,4,4,4,1,1,1
"837","Independent",0.5,4,2,3,4,4,1,0
"838","Democrat",0,5,5,5,5,5,0,1
"839","Independent",0.75,2,2,2,3,2,0,1
"840","Independent",0.5,1,1,1,3,1,1,1
"841","Democrat",0.5,3,1,5,2,1,1,0
"842","Independent",0.5,1,1,1,3,4,0,1
"843","Independent",0.75,2,1,2,4,2,0,1
"844","Republican",0,5,3,3,4,4,0,1
"845","Independent",0.75,1,1,4,4,2,1,0
"846","Independent",0.25,1,1,1,4,2,1,1
"847","Republican",0,4,5,5,4,3,1,0
"848","Republican",0,2,2,2,3,2,0,1
"849",NA,0.5,1,1,3,4,1,1,0
"850","Republican",0.75,2,1,2,3,3,1,0
"851","Democrat",0.25,1,1,1,4,1,0,0
"852","Independent",0.25,2,1,3,4,2,1,1
"853","Republican",0.25,4,1,4,4,3,1,1
"854","Republican",0.5,3,1,5,4,4,0,1
"855","Independent",0.5,4,1,3,4,3,0,1
"856","Republican",0.5,3,1,4,3,2,1,0
"857","Republican",0,4,2,4,4,3,1,0
"858",NA,1,1,1,3,2,2,0,0
"859","Independent",0.25,1,1,3,5,4,0,0
"860","Republican",0,1,1,1,4,3,1,1
"861","Independent",1,2,2,3,3,3,1,0
"862","Republican",0,3,3,2,4,1,1,1
"863","Independent",0.25,3,1,1,4,4,0,0
"864","Independent",0.25,3,2,3,3,3,1,1
"865","Independent",0,2,1,3,4,3,0,0
"866","Independent",0.25,1,1,1,1,1,1,1
"867","Republican",0.5,5,1,3,3,3,0,0
"868","Republican",0.25,2,1,3,4,1,1,1
"869","Independent",0.5,2,1,3,3,3,1,1
"870","Republican",0,1,1,2,4,2,1,0
"871","Republican",0.5,2,1,5,5,3,0,0
"872","Independent",0.25,5,1,4,4,5,0,0
"873","Independent",0.5,3,1,4,4,4,0,0
"874","Independent",0.5,2,1,3,3,3,1,1
"875","Republican",0.25,2,1,3,3,3,0,0
"876","Independent",0.5,1,1,1,4,1,1,1
"877","Democrat",0.5,3,1,3,4,4,1,0
"878","Democrat",0,4,3,4,4,3,0,0
"879","Democrat",0.25,4,2,3,4,1,0,1
"880","Republican",0,3,5,1,5,2,0,1
"881","Republican",0.5,2,1,4,4,3,1,1
"882","Independent",0,5,4,4,4,4,0,0
"883","Republican",0,3,3,3,3,2,0,0
"884","Democrat",1,5,5,2,4,2,0,0
"885","Republican",0.5,3,1,3,3,3,0,1
"886","Democrat",0.75,2,2,4,4,4,1,1
"887","Independent",0.75,1,1,1,1,1,1,0
"888","Democrat",0,2,1,3,3,3,1,1
"889",NA,0.25,3,2,3,4,2,0,0
"890","Independent",0.5,2,1,2,3,1,0,0
"891","Democrat",0.25,4,2,5,5,1,1,1
"892",NA,0,3,3,2,5,1,0,1
"893","Independent",0.75,1,1,3,4,3,1,1
"894","Democrat",0.75,2,1,2,3,1,0,0
"895","Independent",0.25,1,1,1,3,3,0,0
"896","Independent",0.5,1,1,3,5,3,1,1
"897","Democrat",0,2,1,3,4,2,1,1
"898","Democrat",0.25,5,1,5,4,4,1,1
"899","Democrat",0.25,5,3,5,5,5,0,1
"900","Republican",0,4,4,3,3,1,0,0
"901","Democrat",0.25,2,2,2,3,2,0,0
"902","Independent",0.75,1,2,3,3,3,1,0
"903","Independent",0.5,3,1,3,4,2,0,1
"904","Independent",0.25,1,1,1,4,3,1,0
"905","Republican",0,3,1,4,4,3,0,0
"906","Republican",0.5,1,1,3,3,1,0,1
"907","Independent",0.75,1,1,5,5,1,1,0
"908","Independent",0.75,2,1,3,5,3,1,1
"909","Independent",0.75,1,1,3,3,3,1,0
"910","Independent",1,3,1,3,4,3,1,1
"911","Independent",1,1,1,3,3,1,1,1
"912","Republican",0.5,3,1,4,4,3,0,0
"913","Independent",0.5,5,1,5,3,3,1,1
"914","Republican",0.75,1,1,1,2,1,0,1
"915","Independent",1,2,1,4,4,2,0,0
"916","Independent",0.25,2,1,1,4,2,1,0
"917","Democrat",0.5,3,1,4,4,1,1,1
"918","Republican",0,5,4,3,4,1,1,1
"919","Independent",1,2,1,3,3,2,1,0
"920","Democrat",0.75,4,3,3,3,5,1,0
"921","Democrat",0.25,4,3,4,4,4,0,0
"922",NA,0,3,1,3,3,3,1,0
"923","Independent",0.75,1,1,3,4,4,1,1
"924","Independent",0.75,1,1,3,3,4,0,1
"925","Republican",0.5,1,1,5,5,2,1,0
"926","Republican",0,4,4,5,5,5,1,1
"927","Democrat",0.25,3,2,4,4,1,0,1
"928","Republican",0.5,2,1,1,3,1,1,0
"929","Republican",0.5,3,1,5,3,5,1,1
"930","Republican",0,4,3,1,2,1,0,1
"931","Republican",1,4,1,2,4,4,0,1
"932","Republican",0,3,3,4,4,3,1,0
"933","Independent",0.5,1,1,3,5,5,0,1
"934","Democrat",0.25,5,2,3,2,1,0,0
"935","Republican",0,4,4,3,4,1,0,1
"936","Independent",1,2,1,2,3,3,0,0
"937","Independent",1,1,1,2,4,3,1,1
"938","Independent",0.75,4,5,5,4,4,0,0
"939","Republican",0.5,3,1,3,3,3,0,0
"940","Republican",0.25,3,1,3,3,1,0,1
"941","Democrat",0,3,2,5,4,2,1,0
"942","Independent",0.25,4,4,5,5,4,0,0
"943","Republican",0.25,3,3,3,5,5,1,1
"944","Republican",0.25,5,5,5,5,5,0,1
"945","Independent",0.25,3,4,3,4,4,0,1
"946","Republican",0.5,3,1,4,2,3,1,1
"947","Independent",0.25,2,1,3,3,3,1,1
"948","Democrat",0.5,5,4,4,4,1,1,0
"949","Democrat",0.25,5,1,2,3,1,0,1
"950","Republican",0.25,3,3,3,3,3,0,1
"951","Democrat",0,5,2,5,5,2,1,1
"952","Republican",0.25,2,1,4,4,2,1,0
"953","Democrat",0,3,1,5,4,1,1,1
"954","Independent",0.25,4,3,3,4,3,0,1
"955","Democrat",0,4,4,5,4,4,1,1
"956","Republican",0,2,3,2,5,1,0,0
"957","Independent",0,2,2,1,4,3,0,0
"958","Democrat",0.25,4,3,5,5,4,1,0
"959","Independent",0.25,2,1,2,4,4,1,1
"960","Democrat",0,4,2,3,4,3,1,1
"961","Republican",1,1,1,1,1,1,0,0
"962","Republican",0.75,3,1,3,4,4,1,0
"963","Republican",0,5,1,3,4,2,0,1
"964","Independent",0.5,1,1,2,4,2,1,0
"965","Independent",0.75,2,1,3,4,3,1,1
"966",NA,0.25,5,5,2,4,1,1,0
"967","Republican",0.75,2,1,3,4,4,0,0
"968","Democrat",0.25,3,3,2,4,1,0,0
"969","Republican",0,3,3,1,4,2,0,1
"970","Democrat",0.25,5,4,4,4,1,0,0
"971","Republican",0.5,4,4,4,4,4,1,0
"972","Republican",0,5,5,1,3,1,0,1
"973","Independent",0.5,1,1,1,4,4,0,1
"974","Republican",0.25,4,1,3,4,4,0,0
"975",NA,0.75,3,3,3,3,3,1,1
"976","Independent",0.5,2,1,3,4,2,0,1
"977","Democrat",0,4,1,4,4,2,1,1
"978","Republican",0.75,2,1,2,3,3,0,0
"979","Republican",0,5,3,4,4,1,1,0
"980",NA,0.5,1,1,4,4,2,1,0
"981","Democrat",1,5,1,2,5,1,1,1
"982","Democrat",0.25,2,2,2,2,2,0,0
"983","Independent",0.5,4,1,3,4,3,0,1
"984","Republican",0,4,2,3,3,1,1,0
"985","Republican",0.25,3,1,4,4,1,0,1
"986","Republican",0,5,5,2,5,1,1,0
"987","Independent",0.5,1,1,3,3,1,1,0
"988","Democrat",0.25,5,5,5,5,3,1,1
"989","Democrat",0.5,3,1,2,3,3,1,1
"990","Republican",0.25,2,1,3,3,3,0,0
"991",NA,1,3,2,3,4,2,1,1
"992","Independent",1,1,1,1,4,2,0,0
"993","Democrat",0,5,3,3,4,1,0,0
"994","Independent",1,1,1,3,5,3,0,1
"995","Republican",0,4,1,2,4,3,1,0
"996","Republican",0.75,1,1,1,4,1,0,1
"997","Independent",0.5,1,1,3,4,3,0,0
"998","Republican",0.25,2,1,3,3,2,0,0
"999","Democrat",0,5,3,3,4,3,0,0
"1000","Independent",0.75,1,1,1,2,1,0,0
"1001","Republican",0.5,2,1,3,3,3,1,1
"1002","Independent",1,1,1,1,4,2,0,1
"1003","Independent",0.5,1,1,2,2,3,1,0
"1004","Republican",0.25,3,3,3,3,3,1,0
"1005",NA,0.75,4,1,1,5,3,0,1
"1006",NA,0.5,1,1,2,1,3,1,1
"1007","Independent",0,3,1,1,4,2,0,0
"1008",NA,0.75,1,1,3,3,4,1,0
"1009","Democrat",0.5,1,1,3,2,2,1,1
"1010","Republican",0.5,1,1,1,4,1,1,1
"1011","Independent",0.75,1,1,1,1,1,1,1
"1012","Independent",1,2,2,4,4,2,0,0
"1013","Democrat",0,4,1,4,5,3,1,0
"1014","Independent",0.25,2,1,3,3,4,0,1
"1015","Independent",0.75,3,1,1,1,1,0,0
"1016","Republican",0.25,1,1,3,4,1,1,1
"1017","Republican",0.75,3,1,3,3,4,0,1
"1018","Democrat",0.25,3,1,3,4,4,0,1
"1019","Independent",1,4,1,3,3,4,0,1
"1020","Democrat",0,2,3,4,3,4,0,0
"1021","Republican",0,2,2,3,5,3,1,0
"1022","Republican",0,4,3,3,3,4,0,0
"1023","Independent",1,1,1,3,4,2,0,1
"1024","Democrat",0.75,3,2,4,4,3,0,1
"1025","Independent",0.25,1,1,3,5,3,0,0
"1026","Democrat",0,3,2,3,3,1,1,1
"1027",NA,0,3,2,3,4,3,0,1
"1028","Republican",0.5,2,1,1,4,3,1,1
"1029","Independent",1,2,1,2,3,1,0,0
"1030","Republican",0.75,1,1,2,4,1,1,0
"1031","Independent",0.5,3,1,5,4,3,0,0
"1032","Democrat",0,4,4,5,4,1,0,1
"1033","Independent",0.75,1,1,2,4,3,1,0
"1034","Republican",0.25,2,1,3,3,1,1,1
"1035","Republican",0.75,3,3,3,3,3,1,1
"1036","Republican",0.75,1,1,2,3,3,1,0
"1037","Democrat",0,3,1,3,3,3,1,0
"1038","Republican",0,4,3,3,4,3,1,1
"1039","Republican",1,2,1,3,4,4,0,0
"1040","Democrat",0,5,3,1,5,1,1,0
"1041","Democrat",0.5,2,2,4,4,4,0,0
"1042","Republican",0.25,1,1,3,3,1,1,1
"1043","Democrat",0.25,2,1,3,5,1,1,1
"1044","Independent",0.25,2,2,2,3,3,0,0
"1045","Republican",0,3,2,2,4,2,0,1
"1046","Republican",0.25,4,4,4,4,2,0,0
"1047","Republican",0,4,3,3,3,3,1,1
"1048","Republican",0.5,2,2,2,3,3,0,0
"1049","Democrat",0.75,1,1,2,3,1,1,1
"1050",NA,0.75,1,1,2,4,2,1,0
"1051","Independent",0.25,4,1,4,4,4,0,1
"1052","Independent",1,4,5,5,5,4,0,1
"1053","Independent",1,1,1,4,4,3,0,1
"1054","Democrat",0,5,5,5,5,1,1,1
"1055","Independent",0,2,2,2,3,2,1,0
"1056","Republican",0,5,3,5,5,1,0,0
"1057","Democrat",0,5,1,3,4,3,1,0
"1058","Democrat",0.5,4,3,4,4,4,1,1
"1059","Independent",0.5,2,1,4,3,3,0,1
"1060","Republican",1,3,1,2,3,2,0,0
"1061","Democrat",0.75,2,5,4,4,2,1,0
"1062",NA,0,5,3,2,4,3,0,0
"1063",NA,0,4,1,5,5,5,1,0
"1064","Independent",0.75,1,1,3,4,3,1,0
"1065","Independent",0.75,1,1,4,4,5,1,0
"1066","Independent",0.75,3,1,5,5,5,0,0
"1067","Democrat",0,4,4,4,4,1,1,0
"1068","Democrat",0.25,4,3,1,3,3,1,1
"1069",NA,0,5,4,5,5,5,1,1
"1070",NA,1,1,1,3,5,1,1,1
"1071","Republican",0,3,4,4,4,1,1,1
"1072","Democrat",0,4,3,3,4,2,0,1
"1073","Democrat",0.5,4,1,2,4,2,1,0
"1074","Republican",0,3,3,3,3,4,1,0
"1075",NA,0.5,4,2,4,4,2,0,1
"1076","Republican",0,4,1,3,4,3,0,1
"1077","Democrat",0,4,4,4,4,4,0,0
"1078","Republican",0,4,2,4,5,3,0,1
"1079","Republican",0.25,4,2,4,4,1,0,1
"1080","Republican",0,3,1,1,3,1,0,0
"1081","Republican",1,5,4,5,5,5,1,0
"1082","Republican",0.25,3,2,3,4,3,1,0
"1083","Republican",0,1,1,1,3,1,1,0
"1084","Democrat",0.25,1,1,2,3,3,1,1
"1085",NA,0,4,3,4,4,3,1,1
"1086","Independent",1,5,1,3,3,4,1,0
"1087","Republican",0,4,1,3,4,2,1,1
"1088","Democrat",0.5,1,1,1,3,1,1,1
"1089","Democrat",0.5,5,5,4,4,5,0,1
"1090","Republican",0,4,1,3,4,3,0,0
"1091","Democrat",0,5,3,5,5,3,1,1
"1092","Republican",0,5,4,2,4,3,0,0
"1093","Independent",0.75,2,1,3,3,3,0,0
"1094","Republican",0.75,3,1,1,3,1,1,1
"1095","Democrat",0,3,2,4,4,2,0,0
"1096","Democrat",0.5,5,5,5,5,5,1,0
"1097","Republican",0,5,3,2,4,1,0,1
"1098","Independent",0.25,3,1,1,2,4,0,1
"1099","Independent",0.75,1,1,3,4,1,1,0
"1100","Independent",1,2,1,3,4,3,0,1
"1101",NA,0.5,4,1,3,4,3,1,0
"1102","Independent",0.75,1,1,2,4,2,1,0
"1103","Republican",0.25,1,1,2,3,2,0,1
"1104","Democrat",0,4,2,3,4,2,0,1
"1105","Independent",1,3,1,1,1,3,1,0
"1106","Democrat",0,4,2,1,2,1,1,0
"1107","Republican",0.5,4,1,2,4,4,0,0
"1108","Democrat",0.5,1,2,4,5,3,1,0
"1109","Independent",0.25,1,1,1,3,1,1,1
"1110","Republican",0.5,5,5,1,4,2,1,1
"1111","Republican",0.75,3,3,3,3,4,0,0
"1112","Independent",1,3,1,4,4,3,0,1
"1113","Independent",0,1,1,3,5,3,1,0
"1114","Democrat",0.25,5,3,2,4,2,0,0
"1115","Independent",0.75,1,1,4,3,4,1,1
"1116","Republican",0,2,5,5,5,5,1,0
"1117","Democrat",0,5,5,2,3,1,1,1
"1118","Republican",0.5,2,1,3,4,3,0,1
"1119","Republican",0,2,1,4,5,3,1,0
"1120","Independent",1,1,1,3,3,2,1,0
"1121","Democrat",0,4,4,5,4,2,1,0
"1122","Democrat",0.25,4,1,4,5,5,1,0
"1123","Democrat",0,3,1,3,4,2,0,1
"1124","Independent",0,2,1,4,4,2,0,0
"1125","Republican",0.75,2,1,3,3,3,1,1
"1126","Republican",1,3,1,3,3,3,0,1
"1127","Democrat",0.5,2,2,3,3,3,1,1
"1128","Independent",0.25,5,2,3,4,1,0,1
"1129","Independent",0.75,1,1,1,3,3,1,0
"1130","Democrat",0.25,5,2,5,5,5,0,0
"1131","Republican",0,3,4,4,4,2,1,1
"1132","Republican",0.25,4,1,4,4,4,0,0
"1133","Independent",0,3,1,3,3,2,0,0
"1134","Democrat",1,3,1,3,3,2,0,1
